"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"aldeal","1","578","146714624","24936448","4694016","25168","C:\Program Files (x86)\ESTsoft\ALDeal\aldeal.exe","""C:\Program Files (x86)\ESTsoft\ALDeal\aldeal.exe"" ","System.Diagnostics.Process (explorer)","ESTsoft Corp.","0.234375","21.3.18.1","1.10.0.10","ALDeal","ALDeal","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6652","8",,"False","2021-12-01 오전 8:19:29",,"14200",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","25168","25168","4694016","4694016","305816","305816","5255168","5255168","26144768","26144768","182439936","182439936","True","Normal","4694016","4694016","aldeal","63","1",,"System.Diagnostics.ProcessThreadCollection","578","146714624","146714624","False",,,,"24936448","24936448",,"System.Diagnostics.ProcessModule (aldeal.exe)","00:00:00.1718750","00:00:00.2343750","00:00:00.0625000","0","","True",,
"amdfendrsr","0","167","4407484416","7774208","3870720","11888",,,,,,,,,,"Process",,,"8",,,,,"2156",".",,,,"11888","11888","3870720","3870720","98488","98488","4161536","4161536","8400896","8400896","4417970176","123002880",,,"3870720","3870720","amdfendrsr",,"0",,"System.Diagnostics.ProcessThreadCollection","167","4407484416","112517120","False",,,,"7774208","7774208",,,,,,"0","","True",,
"amdow","1","152","4421533696","1486848","2174976","11688",,,,,"0.078125",,,,,"Process",,,"8",,"False","2021-12-01 오전 8:19:50",,"17712",".",,,,"11688","11688","2174976","2174976","148296","148296","2277376","2277376","6930432","6930432","4422582272","127614976",,,"2174976","2174976","amdow",,"1",,"System.Diagnostics.ProcessThreadCollection","152","4421533696","126566400","False",,,,"1486848","1486848",,,"00:00:00.0625000","00:00:00.0781250","00:00:00.0156250","0","","True",,
"AMDRSServ","1","5734","9763545088","15986688","204050432","37632",,,,,"1.046875",,,,,"Process",,,"8",,"False","2021-12-01 오전 8:19:42",,"16524",".",,,,"37632","37632","204050432","204050432","1863848","1863848","244678656","244678656","236134400","236134400","9805500416","1215565824",,,"204050432","204050432","AMDRSServ",,"1",,"System.Diagnostics.ProcessThreadCollection","5734","9763545088","1173610496","False",,,,"15986688","15986688",,,"00:00:00.6406250","00:00:01.0468750","00:00:00.4062500","0","","True",,
"AnySign4PC","1","291","139272192","22843392","19415040","32104","C:\Program Files (x86)\SoftForum\XecureWeb\AnySign\dll\AnySign4PC.exe","""C:\Program Files (x86)\SoftForum\XecureWeb\AnySign\dll\\AnySign4PC.exe"" port=10530;port_s=10531;no_shut=1;",,"HANCOM SECURE Inc.","1.078125","1.1.2.0","1.1.2.0","AnySign For PC","AnySign4PC","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6480","8",,"False","2021-12-01 오전 8:19:10",,"2740",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","32104","32104","19415040","19415040","202560","202560","21172224","21172224","25157632","25157632","157794304","157794304","True","Normal","19415040","19415040","AnySign4PC","63","1",,"System.Diagnostics.ProcessThreadCollection","291","139272192","139272192","False",,,,"22843392","22843392",,"System.Diagnostics.ProcessModule (AnySign4PC.exe)","00:00:00.3281250","00:00:01.0781250","00:00:00.7500000","0","","True",,
"AnySign4PCLauncher","0","321","121958400","23412736","19193856","34056",,,,,,,,,,"Process",,,"8",,,,,"4060",".",,,,"34056","34056","19193856","19193856","169504","169504","22216704","22216704","26755072","26755072","139964416","139964416",,,"19193856","19193856","AnySign4PCLauncher",,"0",,"System.Diagnostics.ProcessThreadCollection","321","121958400","121958400","False",,,,"23412736","23412736",,,,,,"0","","True",,
"ApplicationFrameHost","1","450","2203577753600","37441536","14602240","26920","C:\WINDOWS\system32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","0.6875","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5196","8",,"False","2021-12-01 오전 8:20:15",,"14280",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","26920","26920","14602240","14602240","390200","390200","19054592","19054592","38838272","38838272","2203585859584","267636736","True","Normal","14602240","14602240","ApplicationFrameHost","63","1",,"System.Diagnostics.ProcessThreadCollection","450","2203577753600","259530752","False",,,,"37441536","37441536",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:00.5312500","00:00:00.6875000","00:00:00.1562500","131258","설정","True",,
"ASDSvc","0","471","4565004288","10436608","67932160","30744",,,,,,,,,,"Process",,,"8",,,,,"4328",".",,,,"30744","30744","67932160","67932160","260840","260840","70627328","70627328","82776064","82776064","4570349568","275382272",,,"67932160","67932160","ASDSvc",,"0",,"System.Diagnostics.ProcessThreadCollection","471","4565004288","270036992","False",,,,"10436608","10436608",,,,,,"0","","True",,
"atieclxx","1","333","4427132928","14012416","3207168","15288",,,,,,,,,,"Process",,,"8",,,,,"2760",".",,,,"15288","15288","3207168","3207168","194448","194448","3817472","3817472","14544896","14544896","4437286912","142319616",,,"3207168","3207168","atieclxx",,"1",,"System.Diagnostics.ProcessThreadCollection","333","4427132928","132165632","False",,,,"14012416","14012416",,,,,,"0","","True",,
"atiesrxx","0","182","4369543168","6119424","1437696","8496",,,,,,,,,,"Process",,,"8",,,,,"2164",".",,,,"8496","8496","1437696","1437696","75264","75264","1654784","1654784","6684672","6684672","4373864448","78897152",,,"1437696","1437696","atiesrxx",,"0",,"System.Diagnostics.ProcessThreadCollection","182","4369543168","74575872","False",,,,"6119424","6119424",,,,,,"0","","True",,
